relation,n_gt,n_random,cutoff_density_intersection,cutoff_youdenJ,youdenJ_TPR,youdenJ_FPR,youdenJ_J,cutoff_roc_knee,roc_knee_TPR,roc_knee_FPR
gene_inhibits_biologicalprocess,1000,1000,-0.19289500048452884,-0.08606536318209468,0.801,0.002,0.799,-0.19351758277191422,0.806,0.033
gene_molecularfunction,1000,1000,-0.08178165702530132,-0.04536187816500448,0.938,0.148,0.7899999999999999,-0.04536187816500448,0.938,0.148
gene_mutation,252,252,-0.08002889494588335,-0.04255005152633995,0.8849206349206349,0.15079365079365079,0.7341269841269841,-0.04255005152633995,0.8849206349206349,0.15079365079365079
gene_negativelyassociatedwith_biologicalprocess,515,515,-0.15987670205267843,-0.20733184148393669,0.9883495145631068,0.0,0.9883495145631068,-0.20733184148393669,0.9883495145631068,0.0
gene_notassociatedwith_biologicalprocess,25,25,-0.09988847632405536,-0.16335483300078435,0.96,0.0,0.96,-0.16335483300078435,0.96,0.0
gene_pathway,1000,1000,-0.07642584651819774,-0.02736531176145629,0.864,0.131,0.733,-0.02736531176145629,0.864,0.131
gene_phenotype,1000,1000,-0.07217502431765101,-0.04410833880204734,0.933,0.189,0.744,-0.04410833880204734,0.933,0.189
gene_positivelyassociatedwith_biologicalprocess,498,498,-0.19903212782564447,-0.1242880531441628,0.9578313253012049,0.0,0.9578313253012049,-0.19413770878004222,0.9598393574297188,0.010040160642570281
gene_promotes_biologicalprocess,1000,1000,-0.22398238076676724,-0.05273327965233188,0.64,0.0,0.64,-0.4206580361678971,0.778,0.21
gene_protein,1000,1000,-0.07132738349841738,-0.041458345536008245,0.907,0.122,0.785,-0.041458345536008245,0.907,0.122
gene_tissue,1000,1000,-0.07241153411765086,-0.03554694365181277,0.936,0.193,0.7430000000000001,-0.03554694365181277,0.936,0.193
mirna_gene,1000,1000,-0.06504161137600874,-0.027201890904485104,0.944,0.214,0.73,-0.027201890904485104,0.944,0.214
molecularfunction_biologicalprocess,848,848,-0.16528763239602517,-0.04894356870897365,0.4009433962264151,0.20636792452830188,0.19457547169811323,-0.12235427261730436,0.6108490566037735,0.419811320754717
molecularfunction_chemicalentity,1000,1000,-0.17318832826558203,-0.1444726313751854,0.675,0.443,0.23200000000000004,-0.1444726313751854,0.675,0.443
molecularfunction_molecularfunction,1000,1000,-0.1878960771771524,-0.13011335727557505,0.717,0.421,0.296,-0.07806801436534538,0.615,0.324
molecularfunction_protein,294,294,-0.22571066267252873,-0.21164856269492316,0.7142857142857143,0.3979591836734694,0.3163265306122449,-0.15914363693796907,0.6258503401360545,0.3129251700680272
mutation_chemicalentity,25,25,-0.7076163494762285,-0.817694944053439,0.96,0.08,0.88,-0.817694944053439,0.96,0.08
mutation_disease,1000,1000,-0.07866352651200031,-0.587872887114484,0.967,0.127,0.84,-0.5287579166230247,0.944,0.111
mutation_gene,1000,1000,-0.17867310314309934,-0.5012590578153509,0.955,0.264,0.691,-0.44453114832765506,0.895,0.22
mutation_mutation,163,163,-0.6027819136365666,-0.6052012209541833,0.803680981595092,0.08588957055214724,0.7177914110429449,-0.6300032694061197,0.8159509202453987,0.09815950920245399
mutation_protein,1000,1000,-0.589177326326018,-0.5819610670190207,0.967,0.196,0.7709999999999999,-0.4712545850112959,0.917,0.162
pathway_gene,1000,1000,-0.16029696729333115,-0.10070510718581804,0.946,0.099,0.847,-0.10070510718581804,0.946,0.099
pathway_pathway,1000,1000,-0.31425018454309606,-0.5497499699205273,0.922,0.484,0.43800000000000006,-0.1617260039252031,0.737,0.324
phenotype_biologicalprocess,1000,1000,-0.5998503196370647,-0.5560809420562118,0.791,0.342,0.449,-0.5403530608333798,0.773,0.329
phenotype_cellularcomponent,1000,1000,-0.060682459498743485,-0.44525317572543965,0.796,0.276,0.52,-0.44525317572543965,0.796,0.276
